
2023-11-11 16:42:00,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:42:05,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:10,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:15,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:20,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:25,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:30,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:35,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:40,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 16:42:45,Living Room Light, On, 76,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 16:42:51,Living Room Light, On, 76,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 16:42:56,Living Room Light, On, 76,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 16:53:49,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:53:54,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:20,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:25,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:30,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:35,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:40,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:45,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:50,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:58:55,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:59:00,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 16:59:05,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:01:13,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:03:50,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:04:59,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:05:04,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:05:09,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:05:14,Living Room Light, Off, 0,Living Room Thermostat, Off, 0,Living Room Security Camera, Off, No
2023-11-11 17:05:19,Living Room Light, On, 0,Living Room Thermostat, On, 10,Living Room Security Camera, Off, No
2023-11-11 17:05:25,Living Room Light, On, 100,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:05:30,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:05:35,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:05:40,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:05:45,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:05:50,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:05:55,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:06:00,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:06:05,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:06:10,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:06:15,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:06:20,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
2023-11-11 17:06:25,Living Room Light, On, 68,Living Room Thermostat, On, 19,Living Room Security Camera, Off, No
